RadonEye Log Data
Model Name:,RD200
S/N:,XXXXXXXXX
Unit:,Bq/m³
Alarm Threshold:,148
Interval:,1 hour
Total # of Data:,187
Data No:
1,1035
2,1153
3,1330
4,1287
5,1317
6,1337
7,1363
8,1354
9,1316
10,1321
11,1288
12,1321
13,1299
14,1312
15,1296
16,1243
17,1205
18,1205
19,1206
20,1225
21,1313
22,1145
23,1169
24,1295
25,1217
26,413
27,129
28, 45
29, 24
30, 18
31, 14
32,  5
33, 19
34, 56
35, 54
36, 88
37,109
38,124
39,165
40,174
41,160
42,162
43,199
44, 86
45,103
46,133
47,115
48, 97
49, 65
50, 27
51, 10
52, 27
53, 71
54, 92
55,117
56,108
57, 83
58, 80
59, 79
60,103
61,135
62,177
63,150
64,153
65,148
66,181
67,126
68, 33
69, 13
70,  7
71,  5
72,  7
73, 13
74, 13
75, 24
76, 57
77, 70
78, 94
79, 83
80, 95
81,103
82,120
83,159
84,172
85,168
86,177
87,145
88,174
89,168
90,153
91,103
92, 34
93, 19
94, 22
95, 36
96, 41
97, 33
98, 21
99, 25
100, 25
101, 16
102, 24
103, 34
104, 53
105,106
106,151
107,165
108,190
109,198
110,192
111,180
112,187
113,157
114,192
115,196
116,181
117,181
118,138
119,175
120,222
121,225
122,234
123,237
124,258
125,232
126,253
127,240
128,220
129,190
130,281
131,262
132,243
133,198
134,177
135,198
136,222
137,237
138,249
139,264
140,258
141,225
142,172
143,187
144,201
145,216
146,217
147,229
148,237
149,240
150,217
151,199
152,190
153,243
154,225
155,243
156,252
157,207
158,219
159,199
160,229
161,235
162,214
163, 65
164, 24
165, 10
166, 45
167, 40
168, 54
169, 42
170, 59
171, 21
172, 66
173,145
174,163
175,163
176,186
177,192
178,220
179,298
180,301
181,336
182,317
183,333
184,311
185,271
186,296
187,100
